"","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED"
"116",993.6,1078.4,1007.75,808.5,890.8,940.4,1062.6,850,897,964.75,1156.25,1043.6,1281,1050,974.6,1231.2,839.75,959.4,828,1018.8,1031,840.8,1093.8,978
"117",625,665.8,675,484.5,575.2,679.75,540.6,488.25,634,737.4,493.8,581,741,800.5,584.4,493.8,693.6,862.4,544,546.6,496.25,668.4,462.4,568.8
"118",797,1036.33333333333,797.25,656,945.25,1093.75,824.25,874.8,940.6,1106.6,934.2,840.4,849.8,759.4,718.4,765.6,994.666666666667,759.2,728,756.4,731.2,754,634.4,731.4
"119",803,753.5,875,746.8,684.2,1054.25,747,1176,865.6,931.2,1041,709.4,859.4,757.75,687.8,684.2,665.8,693.8,687.4,772,746.6,881,630.8,700.2
"12",778,809.4,871.8,956.2,765.4,715.6,771.6,803,771.6,792.75,747,859.5,754,715.4,831.4,851.5,709.4,754,762.4,816.5,859.4,803.2,762.4,815.4
"120",839.75,925,802.8,768.8,928,942.666666666667,831.2,793.8,790.6,812.6,674.6,878,765.75,793.8,743.6,918.8,656.4,790.8,581.2,737,696.6,759.6,605.25,806.4
"121",603.2,840.4,781.2,687.8,687.4,855.75,825,744,981.2,709.4,616,693.6,709.4,914.25,765.75,753.75,664,844,800,806.2,831.4,868.6,734.2,1082.66666666667
"122",803.2,851.5,818.6,778.2,793.6,952.8,818.6,659.4,713,738.5,618.8,678,646.8,979,793.6,872,675.2,821.8,937.6,843.8,681.4,758.8,691,862.2
"123",809,775,822,637.2,797,771.8,621.8,1066.25,855.5,778.2,1003,914.25,818.8,777.25,699.8,790.4,816.5,700,1003.2,843.4,784.2,796.8,719,793.8
"124",994,1206.2,793.4,903.4,1015.6,725.2,1018.8,1121,718.6,803.4,1175,1152,1457.5,718.666666666667,731.2,839.75,1259,984.2,1306.2,1018.8,794.2,1296.8,771.6,646.8
"125",775.2,975,1062.75,1112.2,865.4,1097.2,996,734.2,925.5,818.6,787.4,828,1053,996.25,603,953.25,940.6,1153.2,891,821.8,822,1212.4,712.6,645.333333333333
"126",781,1004.25,703.2,693.8,824.8,675,821.8,828.2,750,777,550,812.4,706.8,746,868.8,637.6,678.2,622,665.6,806,693.6,781.2,796.8,644.5
"127",740.6,837.6,706,884.2,753,756.4,925,933.5,840.6,849.8,947,953.25,609.5,893.8,747.2,843.8,665.6,684.2,675.2,794,559.6,643.4,812.2,900.2
"128",699.8,718.75,856.4,1081.2,768.6,774.8,746.8,1294,900.4,1146.6,697.2,716,903.4,1175.75,1090.8,853,848,945.25,640.6,824.25,924.8,903.4,994,1144.5
"129",624.666666666667,600,653,665.4,603.2,615.8,547,603,531.25,675,675.75,728.2,640.4,661.333333333333,570.5,589.75,562.4,556.4,490.6,546.6,659.4,628.2,625,747
"130",978.4,874.8,937.75,959.4,1003.2,862.4,838.333333333333,961,768.6,1025,787.6,1075,816,863.25,843.666666666667,802.8,828,1015.75,737.4,1078.2,837.8,1129,822.2,820.5
"131",787.2,565.6,540.6,719,525.2,571.8,574.8,737.4,522.2,738,553.4,671.6,765.8,628.2,737.75,653,609.4,706.2,600.2,725.2,528.2,524.8,525,497
"132",674.8,871.8,825.2,753,750,628.2,898.75,893.8,768.6,703.4,843.8,1058.5,700.2,875,853.2,942.666666666667,681.2,675.2,952.8,899.8,837.4,919,944,740.6
"133",737.6,791,815.4,652.5,775,768.8,640.8,809.6,737.6,674.8,931,584.2,806,721.8,656.75,721.8,803.4,793.4,675,709,756.6,909.4,621,742.25
